科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
環境動態学概説Ⅱ,水1,E10,35人,塚脇　真二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73617.01&je_cd=1&lct_idx=A000000000137525
比較文化,火4,E1,36人,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73654.04&je_cd=1&lct_idx=A000000000137542
高等教育研究,木4,E1,36人,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73655.04&je_cd=1&lct_idx=A000000000137546
泉鏡花と金沢アート（STEAM教育入門）,木5,D5,20人,林　透,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73659&je_cd=1&lct_idx=A000000000137549
ピアノ教育の社会史,木3,E1,36人,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73701.02&je_cd=1&lct_idx=A000000000137573
Unreal Engineゲーム開発演習,金3,C3,30人,東　昭孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73713&je_cd=1&lct_idx=A000000000137585
学域横断的プロジェクト入門,水2,C9,20人,苅谷　千尋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73717&je_cd=1&lct_idx=A000000000137590
数の世界,木2,C3,87人,岩瀨　順一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73723&je_cd=1&lct_idx=A000000000137596
クリティカル・シンキング,月3,E10,95人,髙谷　掌子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73B00a.453&je_cd=1&lct_idx=A000000000137615
クリティカル・シンキング,月4,E10,95人,髙谷　掌子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73B00a.454&je_cd=1&lct_idx=A000000000137616
