科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
ドイツ語A4－2,水5,D14,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.028&je_cd=1&lct_idx=A000000000137781
ドイツ語A4－2,火3,D6,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.A01&je_cd=1&lct_idx=A000000000137782
ドイツ語A4－2,火3,B5,30人,THELEN TIMO,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.A02&je_cd=1&lct_idx=A000000000137783
ドイツ語A4－2,木3,D12,30人,THELEN TIMO,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.A03&je_cd=1&lct_idx=A000000000137784
ドイツ語A4－2,木3,D13,30人,仲正　昌樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.B01&je_cd=1&lct_idx=A000000000137785
ドイツ語A4－2,木3,D14,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.B02&je_cd=1&lct_idx=A000000000137786
ドイツ語A4－2,火2,D6,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.B03&je_cd=1&lct_idx=A000000000137787
ドイツ語A4－2,水3,C8,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.C01&je_cd=1&lct_idx=A000000000137788
ドイツ語A4－2,水3,B9,30人,BITTMANN HEIKO,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.C02&je_cd=1&lct_idx=A000000000137789
ドイツ語A4－2,木4,D14,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421h.C03&je_cd=1&lct_idx=A000000000137790
フランス語A3－2,火2,D2,30人,阪上　るり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431f.A01&je_cd=1&lct_idx=A000000000137861
フランス語A3－2,火2,B6,30人,岩津　航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431f.A02&je_cd=1&lct_idx=A000000000137862
フランス語A3－2,木3,B6,30人,岩津　航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431f.A03&je_cd=1&lct_idx=A000000000137863
フランス語A3－2,木4,B6,30人,南　コニー,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431f.A04&je_cd=1&lct_idx=A000000000137864
フランス語A3－2,木4,B5,30人,佐藤　朋子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431f.A05&je_cd=1&lct_idx=A000000000137865
フランス語A4－2,水5,B5,30人,佐藤　朋子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.033&je_cd=1&lct_idx=A000000000137872
フランス語A4－2,木3,D2,30人,阪上　るり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.A01&je_cd=1&lct_idx=A000000000137873
フランス語A4－2,木3,B5,30人,佐藤　朋子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.A02&je_cd=1&lct_idx=A000000000137874
フランス語A4－2,火2,B5,30人,佐藤　朋子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.A03&je_cd=1&lct_idx=A000000000137875
フランス語A4－2,水3,D3,30人,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.A04&je_cd=1&lct_idx=A000000000137876
フランス語A4－2,水3,B5,30人,佐藤　朋子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7431h.A05&je_cd=1&lct_idx=A000000000137877
フランス語C－2,水2,D3,30人,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7433b.060&je_cd=1&lct_idx=A000000000137911
フランス語C－2,月2,D3,30人,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7433b.066&je_cd=1&lct_idx=A000000000137913
フランス語C－2,水4,D3,30人,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7433b.069&je_cd=1&lct_idx=A000000000137914
フランス語C－2,月5,D3,30人,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7433b.072&je_cd=1&lct_idx=A000000000137915
ロシア語A3－2,火2,C14,30人,武田　昭文,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7441f.015&je_cd=1&lct_idx=A000000000137935
ロシア語A3－2,火3,C14,30人,武田　昭文,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7441f.018&je_cd=1&lct_idx=A000000000137936
ロシア語A4－2,木3,D3,30人,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7441h.021&je_cd=1&lct_idx=A000000000137939
ロシア語A4－2,木4,D3,30人,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7441h.024&je_cd=1&lct_idx=A000000000137940
ロシア語B－2,木2,D3,30人,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7442b.033&je_cd=1&lct_idx=A000000000137951
ロシア語B－2,木1,D3,30人,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7442b.036&je_cd=1&lct_idx=A000000000137952
ロシア語C－2,木5,D3,30人,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7443b.042&je_cd=1&lct_idx=A000000000137958
中国語A3－2,月1,D8,30人,西村　英希,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.018&je_cd=1&lct_idx=A000000000138031
中国語A3－2,火2,A3,30人,上田　望,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.A01&je_cd=1&lct_idx=A000000000138032
中国語A3－2,火2,B8,30人,加納　希美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.A02&je_cd=1&lct_idx=A000000000138033
中国語A3－2,火2,D7,30人,西村　英希,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.A03&je_cd=1&lct_idx=A000000000138034
中国語A3－2,火3,C2,30人,村田　順子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.B04&je_cd=1&lct_idx=A000000000138035
中国語A3－2,火3,D8,30人,山田　從子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.B05&je_cd=1&lct_idx=A000000000138036
中国語A3－2,火3,D7,30人,西村　英希,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.B06&je_cd=1&lct_idx=A000000000138037
中国語A3－2,水3,D7,30人,西村　英希,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451f.C07&je_cd=1&lct_idx=A000000000138038
中国語A4－2,水5,D6,30人,趙　菁,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.027&je_cd=1&lct_idx=A000000000138047
中国語A4－2,木3,D8,30人,艾　玉霞,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.A01&je_cd=1&lct_idx=A000000000138048
中国語A4－2,木3,D6,30人,趙　菁,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.A02&je_cd=1&lct_idx=A000000000138049
中国語A4－2,木3,D9,30人,李　偉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.A03&je_cd=1&lct_idx=A000000000138050
中国語A4－2,水3,D8,30人,艾　玉霞,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.B04&je_cd=1&lct_idx=A000000000138051
中国語A4－2,水3,D6,30人,趙　菁,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.B05&je_cd=1&lct_idx=A000000000138052
中国語A4－2,水3,C7,30人,李　偉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.B06&je_cd=1&lct_idx=A000000000138053
中国語A4－2,木4,D6,30人,趙　菁,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7451h.C07&je_cd=1&lct_idx=A000000000138054
朝鮮語A3－2,月4,A4,30人,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461f.C09&je_cd=1&lct_idx=A000000000138100
朝鮮語A3－2,火2,A4,30人,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461f.C10&je_cd=1&lct_idx=A000000000138101
朝鮮語A3－2,火3,A4,30人,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461f.C11&je_cd=1&lct_idx=A000000000138102
朝鮮語A3－2,水2,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461f.C12&je_cd=1&lct_idx=A000000000138103
朝鮮語A4－2,水3,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461h.D13&je_cd=1&lct_idx=A000000000138108
朝鮮語A4－2,木3,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461h.D14&je_cd=1&lct_idx=A000000000138109
朝鮮語A4－2,木2,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461h.D15&je_cd=1&lct_idx=A000000000138110
朝鮮語A4－2,木4,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7461h.D16&je_cd=1&lct_idx=A000000000138111
朝鮮語B－2,火5,A4,30人,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7462b.063&je_cd=1&lct_idx=A000000000138122
朝鮮語B－2,水4,A4,30人,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7462b.066&je_cd=1&lct_idx=A000000000138123
朝鮮語C－2,水5,A4,30人,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7463b.078&je_cd=1&lct_idx=A000000000138129
ギリシア語A2－2,月1,D3,30人,入江　浩司,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7471d&je_cd=1&lct_idx=A000000000138137
ギリシア語A4－2,金5,D3,30人,入江　浩司,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7471h&je_cd=1&lct_idx=A000000000138141
ラテン語A2－2,月5,C14,30人,RUNNER JACOB WAYNE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7481d.012&je_cd=1&lct_idx=A000000000138155
ラテン語A4－2,水3,D2,30人,西村　周浩,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7481h.018&je_cd=1&lct_idx=A000000000138159
ラテン語C－2,月5,D15,30人,寺嶋　雅彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7483b&je_cd=1&lct_idx=A000000000138165
スペイン語A3－2,火2,C3,35人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485f.A01&je_cd=1&lct_idx=A000000000138193
スペイン語A3－2,火3,C3,35人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485f.B02&je_cd=1&lct_idx=A000000000138194
スペイン語A3－2,火3,C6,35人,TORRA REVENTOS MARIA DE LA MERCE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485f.C01&je_cd=1&lct_idx=A000000000138195
スペイン語A4－2,木3,C5,35人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485h.A01&je_cd=1&lct_idx=A000000000138199
スペイン語A4－2,木4,C5,35人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485h.B02&je_cd=1&lct_idx=A000000000138200
スペイン語A4－2,木4,C6,35人,TORRA REVENTOS MARIA DE LA MERCE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7485h.C01&je_cd=1&lct_idx=A000000000138201
スペイン語C－2,木5,C5,30人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7487b.009&je_cd=1&lct_idx=A000000000138212
スペイン語C－2,火5,C3,30人,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7487b.012&je_cd=1&lct_idx=A000000000138213
日本語A2－2,火1,A3,30人,苗田　敏美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7491d.002&je_cd=1&lct_idx=A000000000138221
日本語A3－2,水1,A3,30人,苗田　敏美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7491f.002&je_cd=1&lct_idx=A000000000138225
アカデミック基礎日本語B,月2,B2,15人,本田　弘之,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74923.022&je_cd=1&lct_idx=A000000000140031
講義の聴解B,水1,C2,15人,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74929.082&je_cd=1&lct_idx=A000000000140035
上級読解ⅡB,金1,B2,15人,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74937.122&je_cd=1&lct_idx=A000000000140039
日本語で学ぶ論理B,火4,B2,15人,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74939.132&je_cd=1&lct_idx=A000000000140042
アカデミック・ライティングB,月1,B2,15人,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74943.042&je_cd=1&lct_idx=A000000000140047
初級2－1B,月1,A4,15人,苗田　敏美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74960.002&je_cd=1&lct_idx=A000000000140057
初級2－2B,火1,A4,15人,田中　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74961.002&je_cd=1&lct_idx=A000000000140059
中級聴解B,水1,C5,15人,鶴町　佳子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74965.002&je_cd=1&lct_idx=A000000000140067
中上級聴解B,火1,B8,15人,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74967.002&je_cd=1&lct_idx=A000000000140071
速読B,月1,B6,15人,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74969.002&je_cd=1&lct_idx=A000000000140075
中級作文B,木2,D13,15人,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74971.002&je_cd=1&lct_idx=A000000000140079
中上級作文B,月2,A3,15人,星　摩美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74973.002&je_cd=1&lct_idx=A000000000140083
漢字・語彙1B,木2,A3,15人,山中　里紗,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74979.002&je_cd=1&lct_idx=A000000000140091
漢字・語彙2B,木2,B2,15人,田中　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74981.002&je_cd=1&lct_idx=A000000000140095
漢字・語彙3B,木1,A3,15人,山中　里紗,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74983.002&je_cd=1&lct_idx=A000000000140099
漢字・語彙4B,木1,A2,15人,河内　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74985.002&je_cd=1&lct_idx=A000000000140103
漢字・語彙5B,木2,A2,15人,河内　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74987.002&je_cd=1&lct_idx=A000000000140107
地域社会と文化人類学,火2,D4,70人,大澤　隆将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74A01.422&je_cd=1&lct_idx=A000000000138247
地域社会と文化人類学（英語クラス）,水2,C5,35人,大澤　隆将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74A01.432&je_cd=1&lct_idx=A000000000138248
地域社会と文化人類学（英語クラス）,木2,E15,35人,大澤　隆将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74A01.442&je_cd=1&lct_idx=A000000000138249
日本史・日本文化,月3,B1,90人,PHILLIPPS JEREMY DAVID,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74B00a.413&je_cd=1&lct_idx=A000000000138260
日本史・日本文化,月4,B1,90人,PHILLIPPS JEREMY DAVID,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74B00a.414&je_cd=1&lct_idx=A000000000138261
日本史・日本文化,火3,C1,90人,PHILLIPPS JEREMY DAVID,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74B00a.423&je_cd=1&lct_idx=A000000000138262
日本史・日本文化（英語クラス）,火4,C1,90人,PHILLIPPS JEREMY DAVID,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74B00a.424&je_cd=1&lct_idx=A000000000138263
日本史・日本文化,金5,B1,90人,上田　長生,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74B00a.455&je_cd=1&lct_idx=A000000000138264
異文化間コミュニケーション,月2,D10,52人,小林　恵美子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74C00a.412&je_cd=1&lct_idx=A000000000138283
異文化間コミュニケーション,月3,D10,52人,小林　恵美子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74C00a.413&je_cd=1&lct_idx=A000000000138284
異文化間コミュニケーション,火1,D10,52人,濱田　里羽,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74C00a.421&je_cd=1&lct_idx=A000000000138286
異文化間コミュニケーション,火2,D10,52人,小林　恵美子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74C00a.422&je_cd=1&lct_idx=A000000000138287
異文化間コミュニケーション,火3,D10,52人,小林　恵美子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74C00a.423&je_cd=1&lct_idx=A000000000138288
グローバル時代の国際協力,水5,D10,80人,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74E01.435&je_cd=1&lct_idx=A000000000138320
グローバル時代の国際協力（英語クラス）,木2,D8,30人,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74E01.442&je_cd=1&lct_idx=A000000000138321
グローバル時代の国際協力,木4,D10,80人,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74E01.444&je_cd=1&lct_idx=A000000000138322
グローバル時代の国際協力,金1,D10,80人,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74E01.451&je_cd=1&lct_idx=A000000000138323
グローバル時代の国際協力,金5,D10,80人,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74E01.455&je_cd=1&lct_idx=A000000000138324
グローバル社会と地域の課題,水4,E10,99人,井出　明,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74F00a.434&je_cd=1&lct_idx=A000000000138335
グローバル社会と地域の課題（英語クラス）,水5,E10,99人,井出　明,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74F00a.435&je_cd=1&lct_idx=A000000000138336
グローバル社会と地域の課題,木4,A1,99人,井出　明,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74F00a.444&je_cd=1&lct_idx=A000000000138337
微分積分学ⅡB,木1,A1,-----,早川　貴之,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.01&je_cd=1&lct_idx=A000000000138420
微分積分学ⅡB,月3,B4,-----,今村　悠里,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.02&je_cd=1&lct_idx=A000000000138421
微分積分学ⅡB,水3,C2,-----,藪野　エイエイウイン,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.03&je_cd=1&lct_idx=A000000000138422
微分積分学ⅡB,木2,B1,-----,藪野　エイエイウイン,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.04&je_cd=1&lct_idx=A000000000138423
微分積分学ⅡB,水3,D10,-----,蚊戸　宣幸,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.05&je_cd=1&lct_idx=A000000000138424
微分積分学ⅡB,木2,D4,-----,蚊戸　宣幸,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.06&je_cd=1&lct_idx=A000000000138425
微分積分学ⅡB,水3,B10,-----,加勢　順子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.07&je_cd=1&lct_idx=A000000000138426
微分積分学ⅡB,月4,B10,-----,菅野　孝史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.14&je_cd=1&lct_idx=A000000000138427
